model-1601979841,1601979846.331,0.48,0.2503,0.45,0.2525 
model-1601979841,1601979846.373,0.61,0.2433,0.54,0.2473 
model-1601979841,1601979846.416,0.53,0.243,0.55,0.2442 
model-1601979841,1601979846.466,0.56,0.2372,0.54,0.2448 
model-1601979841,1601979846.514,0.42,0.2591,0.51,0.2464 
model-1601979841,1601979846.561,0.64,0.2336,0.59,0.2436 
model-1601979841,1601979846.608,0.49,0.249,0.54,0.243 
model-1601979841,1601979846.653,0.58,0.2341,0.56,0.2445 
model-1601979841,1601979846.696,0.5,0.25,0.52,0.2487 
model-1601979841,1601979846.742,0.61,0.2457,0.53,0.2493 
model-1601979841,1601979846.787,0.56,0.252,0.48,0.2493 
model-1601979841,1601979846.836,0.56,0.2489,0.49,0.2528 
model-1601979841,1601979846.893,0.47,0.2535,0.46,0.2462 
model-1601979841,1601979846.949,0.56,0.2315,0.49,0.2539 
model-1601979841,1601979847.0,0.56,0.2483,0.5,0.2437 
model-1601979841,1601979847.055,0.55,0.2454,0.48,0.249 
model-1601979841,1601979847.104,0.52,0.2438,0.51,0.2494 
model-1601979841,1601979847.155,0.56,0.24,0.54,0.2413 
model-1601979841,1601979847.218,0.59,0.2491,0.59,0.2438 
model-1601979841,1601979847.277,0.6,0.2367,0.56,0.2335 
model-1601979841,1601979847.327,0.53,0.2544,0.57,0.2455 
model-1601979841,1601979847.381,0.55,0.2463,0.49,0.248 
model-1601979841,1601979847.43,0.56,0.2531,0.49,0.2507 
model-1601979841,1601979847.486,0.56,0.2409,0.56,0.2471 
model-1601979841,1601979847.539,0.52,0.2479,0.52,0.2502 
model-1601979841,1601979847.592,0.61,0.2389,0.57,0.2435 
model-1601979841,1601979847.642,0.65,0.2371,0.45,0.2522 
model-1601979841,1601979847.696,0.5,0.2499,0.53,0.2452 
model-1601979841,1601979847.746,0.65,0.2394,0.55,0.2543 
model-1601979841,1601979847.803,0.52,0.2494,0.52,0.247 
model-1601979841,1601979847.85,0.55,0.2478,0.55,0.2487 
model-1601979841,1601979847.896,0.41,0.2571,0.51,0.2513 
model-1601979841,1601979847.943,0.5,0.2491,0.53,0.2451 
model-1601979841,1601979847.986,0.49,0.2481,0.53,0.2476 
model-1601979841,1601979848.034,0.6,0.236,0.51,0.2489 
model-1601979841,1601979848.077,0.61,0.2389,0.49,0.2533 
model-1601979841,1601979848.123,0.57,0.2444,0.49,0.2516 
model-1601979841,1601979848.171,0.62,0.2391,0.56,0.2417 
model-1601979841,1601979848.214,0.63,0.2341,0.51,0.2444 
model-1601979841,1601979848.259,0.54,0.2388,0.56,0.24 
model-1601979841,1601979848.305,0.59,0.2351,0.49,0.2562 
model-1601979841,1601979848.348,0.64,0.2367,0.49,0.249 
model-1601979841,1601979848.392,0.56,0.2459,0.56,0.2468 
model-1601979841,1601979848.438,0.52,0.2405,0.57,0.2738 
model-1601979841,1601979848.481,0.47,0.2529,0.58,0.2384 
model-1601979841,1601979848.525,0.51,0.2616,0.55,0.2655 
model-1601979841,1601979848.572,0.54,0.2657,0.5,0.2497 
